level,predictor,arm,arm_label,matched_epoch,train_trajectories,brier_debiased,brier_debiased_se,brier_raw,skill_score,REL_debiased,RES,UNC_debiased,VAR_debiased,decomp_gap,sAUROC,SHARP,SHARP_star,AURC,risk@0.2,risk@0.5,risk@1,KL,log_score,log_score_oracle,log_score_climatology,MAE,bias,acc@0.5,prec@0.5,rec@0.5,f1@0.5,f1@0.25,f1@0.75,roa_frac_true@0.5,roa_frac_pred@0.5,mean_p_invalid,n_points,K,M
med,clf,ent10,entropy d2=1.0,10,11000,0.012249670278179671,0.00022287034893569199,0.01243059519239601,0.9443061947114177,0.010685245297265274,0.2177201776865801,0.21994672862999676,0.21994672862999678,-0.0006621259625022528,0.9976928482691014,0.018127262401787855,0.01809249142163399,0.0006017662489300892,8.060921792380481e-36,8.48970895664534e-22,0.012249670278179666,0.03917809142249728,0.09619157427050147,0.057851543368127686,0.6690311268418458,0.036576854338219736,0.03638345879719059,0.9607744531053558,0.9087185488589818,1.0,0.9521765787860209,0.954775919342619,0.9522512885344744,0.3904953482524516,0.4297208951470958,0.0,39770,1.0,100.0
med,fm,dir00,non-adaptive (d2=0),10,11000,0.001758545220878638,7.47865834698269e-05,0.0021656424440533065,0.9920046766240523,6.734419320637334e-05,0.21825552760232392,0.21994672862999676,0.21994672862999678,-5.659535340374333e-16,0.9967800566002082,0.02261723089583286,0.01809249142163399,0.00012088613404147584,2.463661000246368e-05,2.396608783332447e-05,0.0017585452208786368,0.01217354446834824,0.06918702731664789,0.057851543368127686,0.6690311268418458,0.014612522001508674,-0.0062941916017098315,0.9912496856927332,0.9922827496757458,0.9852543464262717,0.9887560581583199,0.9897846831416688,0.9855260462893425,0.3904953482524516,0.3877294443047523,0.39323183303997994,39770,100.0,100.0
med,fm,ent05,entropy d2=0.5,10,11000,0.0002914439847303815,1.7883736915947153e-05,0.0006793009806386723,0.9986749337598894,-0.00014154954226095953,0.21951373510300504,0.21994672862999676,0.21994672862999678,-3.913969842672671e-16,0.9974903141088469,0.020693208169195097,0.01809249142163399,2.201580453347433e-05,2.8446395054391043e-06,2.8141612250236855e-06,0.00029144398473038123,0.0054198768037755155,0.06243335965195225,0.057851543368127686,0.6690311268418458,0.008913251194367615,-0.002768921297460398,0.9946944933366859,0.9932384570803013,0.9931745009658725,0.9932064779934963,0.9926695174098961,0.9919901837145096,0.3904953482524516,0.39047020367110885,0.40976313804375153,39770,100.0,100.0
med,fm,ent10,entropy d2=1.0,10,11000,0.00022906317385573108,1.4586268337374224e-05,0.0006071611767664069,0.9989585515761815,-0.0001534773816750574,0.21956418807446546,0.21994672862999676,0.21994672862999678,-5.224770269207646e-16,0.9974886154395614,0.019717308869433594,0.01809249142163399,1.613550476744523e-05,2.412863866220669e-06,2.9360743466853615e-06,0.00022906317385573143,0.004934793254793143,0.06194827610295284,0.057851543368127686,0.6690311268418458,0.008361076188081469,-0.002127734473221022,0.9946693487553432,0.9938104448742746,0.992530585962653,0.9931701030927835,0.9921688589782807,0.9928189769594663,0.3904953482524516,0.3899924566255972,0.41099773698767916,39770,100.0,100.0
med,fm,tb05,entropy+modesep d2=0.5,10,11000,0.00028251750596231364,1.5246705040056542e-05,0.000674898164445562,0.9987155184906724,-0.00014776098688265533,0.2195164501371515,0.21994672862999676,0.21994672862999678,-2.9089144287786084e-16,0.997537701534247,0.02114557442669085,0.01809249142163399,1.744584495853945e-05,1.600109721809497e-06,1.6966242764583238e-06,0.00028251750596231483,0.005225385162876307,0.062238868011059,0.057851543368127686,0.6690311268418458,0.008999497108373144,-0.0013600704048277604,0.9945184812672869,0.9922206506364922,0.9937540244687701,0.9929867455925878,0.992622850871845,0.99154622307063,0.3904953482524516,0.3910988182046769,0.4057943173246165,39770,100.0,100.0
med,fm,tb10,entropy+modesep d2=1.0,10,11000,0.000305487309605992,1.959347753457285e-05,0.0006977420165954236,0.9986110850044971,-0.00011642120403095541,0.2195248201163593,0.21994672862999676,0.21994672862999678,-5.244285908312385e-16,0.9974742588500809,0.02113297927730918,0.01809249142163399,2.1073420326750297e-05,3.454205113747485e-06,2.9462337734905014e-06,0.0003054873096059933,0.005586388726418239,0.06259987157460274,0.057851543368127686,0.6690311268418458,0.00902087000251446,-0.0029846618053809416,0.9947950716620568,0.9946413583833689,0.9920154539600773,0.9933266707501853,0.9926409966716541,0.99188378120311,0.3904953482524516,0.38946442041740004,0.41692180035202414,39770,100.0,100.0
high,clf,dir00,non-adaptive (d2=0),9,10000,0.06940749785789987,0.0005930651461261681,0.06989760544622974,0.6381003963529381,0.06586043752868558,0.1880938077473442,0.19178660920996388,0.19178660920996385,-0.00014574113340540262,0.9803947289654387,0.0780514817127906,0.04901075883298664,0.01923961624059353,1.1987127056609253e-06,0.010254634447492835,0.06940749785790008,0.22670806749822606,0.38552384175435994,0.15926042708429025,0.6746273025481904,0.1720728337444409,0.17201283000829484,0.8452099572542117,0.7196082896834434,1.0,0.8369444297293002,0.8208446866485014,0.8300788356579746,0.39725924063364343,0.5520492833794317,0.0,39770,1.0,100.0
high,clf,ent05,entropy d2=0.5,9,10000,0.09274140500325423,0.0007028303782023136,0.0932315125915841,0.5164344091316462,0.08972290840602008,0.18874038394718268,0.19178660920996388,0.19178660920996385,-2.7728665547052667e-05,0.9804937328208281,0.07966136928619823,0.04901075883298664,0.028750268624970536,7.062308028811309e-06,0.009363552153165138,0.09274140500325416,0.3059443463075785,0.4647601205636385,0.15926042708429025,0.6746273025481904,0.20386671385675778,0.20332088571363524,0.8195373397032939,0.6876305710306406,1.0,0.8149065119277885,0.7728817907767301,0.8098689465432062,0.39725924063364343,0.5777219009303495,0.0,39770,1.0,100.0
high,clf,ent10,entropy d2=1.0,9,10000,0.15289597331335628,0.0011043197982718398,0.15338608090168612,0.20278076794209832,0.14848808288619258,0.18769932587989951,0.19178660920996388,0.19178660920996385,0.00032060709709930135,0.9799843726616387,0.06709043917660021,0.04901075883298664,0.0499304068230146,6.957501015638429e-06,0.0316052699362601,0.15289597331335678,0.5025350901112937,0.6613508643675036,0.15926042708429025,0.6746273025481904,0.2589111170576781,0.2584735837885472,0.7152376162936888,0.5824730865654033,1.0,0.7361554411387834,0.7670924754912362,0.7398718953541795,0.39725924063364343,0.6820216243399547,0.0,39770,1.0,100.0
high,fm,dir00,non-adaptive (d2=0),9,10000,0.0019707900732240688,5.737756370655924e-05,0.002982097058083983,0.9897240475685845,2.5929207209725888e-05,0.1898417483439484,0.19178660920996388,0.19178660920996385,-1.126269216777942e-15,0.9804058916774256,0.052119939653004786,0.04901075883298664,0.00019695594365092141,3.078306321957327e-05,2.5377333810827468e-05,0.0019707900732240827,0.014425648961513656,0.17324142321706038,0.15926042708429025,0.6746273025481904,0.02676690973095298,-0.011475484033190847,0.9765652501885843,0.9895936244483963,0.9510095575669346,0.9699180169130464,0.9744810779013419,0.9717870665973718,0.39725924063364343,0.38177017852652756,0.5644483278853406,39770,100.0,100.0
