system,arm,epoch,train_traj,region,n_points,mean_of_means,median_of_means,p90_of_means,mean_of_medians,median_of_medians,p90_of_medians,mean_of_p90s,median_of_p90s,p90_of_p90s
quad2d,fm_disp_gdiv_d05,19,11500,certain_success,6180,0.2071637660264969,0.08438463509082794,0.2941930890083313,0.13131864368915558,0.034941960126161575,0.1019228920340538,0.3833959102630615,0.0693252831697464,1.430030107498169
quad2d,fm_disp_gdiv_d05,19,11500,certain_failure,300398,1.4975857734680176,1.020268440246582,3.152986526489258,1.3394663333892822,0.8365001678466797,2.862414598464966,2.7209434509277344,1.8753434419631958,5.764413833618164
quad2d,fm_disp_gdiv_d10,19,11500,full,479789,1.8392530679702759,1.2509346008300781,3.944835662841797,1.591651439666748,0.9636054039001465,3.4241645336151123,3.470815658569336,2.3662376403808594,7.784972190856934
quad2d,fm_disp_gdiv_d10,19,11500,certain_success,10061,0.299233078956604,0.11616775393486023,0.304611474275589,0.22894588112831116,0.0504697784781456,0.14517274498939514,0.2699405252933502,0.09051588922739029,0.22143620252609253
quad2d,fm_disp_gdiv_d10,19,11500,certain_failure,387618,1.7117823362350464,1.2083430290222168,3.498322010040283,1.5000566244125366,0.9561482667922974,3.1107845306396484,3.1674253940582275,2.256314277648926,6.579329967498779
quad2d,fm_disp_greedy_d05,19,11500,full,479789,1.7168676853179932,1.1240078210830688,3.7758588790893555,1.5148216485977173,0.8757778406143188,3.3516483306884766,3.1569721698760986,2.065739631652832,7.255441665649414
quad2d,fm_disp_greedy_d05,19,11500,certain_success,7740,0.2436404675245285,0.08193626999855042,0.22505046427249908,0.19612371921539307,0.042440056800842285,0.12247651815414429,0.22680816054344177,0.0698193907737732,0.17876388132572174
quad2d,fm_disp_greedy_d05,19,11500,certain_failure,335091,1.5115574598312378,1.0341905355453491,3.172497510910034,1.3490424156188965,0.8384900093078613,2.895872116088867,2.743379831314087,1.9106042385101318,5.762753486633301
quad2d,fm_disp_greedy_d10,19,11500,full,479789,1.7616220712661743,1.165749430656433,3.7494943141937256,1.5508731603622437,0.920191764831543,3.3442816734313965,3.2325046062469482,2.1556003093719482,7.192945957183838
quad2d,fm_disp_greedy_d10,19,11500,certain_success,11933,0.3558831810951233,0.09981120377779007,0.3262079060077667,0.29822346568107605,0.054766133427619934,0.1573430895805359,0.3353455662727356,0.09186801314353943,0.21898557245731354
quad2d,fm_disp_greedy_d10,19,11500,certain_failure,400353,1.6654778718948364,1.1395543813705444,3.3996238708496094,1.4738940000534058,0.9140968322753906,3.0808398723602295,3.01808500289917,2.0982794761657715,6.245916843414307
quad2d,fm_disp_prop_d05,19,11500,full,479789,1.7066210508346558,1.1001394987106323,3.805208444595337,1.5076603889465332,0.8573513031005859,3.3860888481140137,3.1207520961761475,2.0100929737091064,7.222270965576172
quad2d,fm_disp_prop_d05,19,11500,certain_success,6659,0.2464277148246765,0.09316466003656387,0.30149972438812256,0.17027905583381653,0.03837341070175171,0.11023695021867752,0.43017342686653137,0.08071693778038025,1.416529655456543
quad2d,fm_disp_prop_d05,19,11500,certain_failure,298812,1.4781770706176758,1.0073072910308838,3.122357130050659,1.3222877979278564,0.8268266320228577,2.849888801574707,2.669865846633911,1.8530993461608887,5.5872907638549805
quad2d,fm_disp_prop_d10,19,11500,full,479789,1.7659049034118652,1.163124918937683,3.770690441131592,1.5506556034088135,0.9172152876853943,3.345550298690796,3.267643690109253,2.178708076477051,7.248216152191162
quad2d,fm_disp_prop_d10,19,11500,certain_success,10514,0.36384063959121704,0.12936748564243317,0.3318798542022705,0.2858853340148926,0.0550534650683403,0.15755468606948853,0.32583698630332947,0.09376703947782516,0.22906504571437836
quad2d,fm_disp_prop_d10,19,11500,certain_failure,398869,1.6641292572021484,1.134850263595581,3.413831949234009,1.4733623266220093,0.9100381731987,3.0816500186920166,3.034832000732422,2.103039503097534,6.313997268676758
quad2d,fm_nonadapt,9,12000,full,479789,1.7741940021514893,1.1531596183776855,4.007564067840576,1.5739279985427856,0.8919302225112915,3.5989866256713867,3.237551212310791,2.1269781589508057,7.520262718200684
quad2d,fm_nonadapt,9,12000,certain_success,16875,0.44029393792152405,0.1715756207704544,0.5701695680618286,0.2942032814025879,0.05347485840320587,0.14973531663417816,0.7628709673881531,0.14172783493995667,1.7539664506912231
quad2d,fm_nonadapt,9,12000,certain_failure,402705,1.654030680656433,1.1096526384353638,3.598874568939209,1.4727706909179688,0.8724868893623352,3.2416019439697266,2.986344814300537,2.0318615436553955,6.554786682128906
quad2d,fm_ranked,9,12000,full,479789,1.7606372833251953,1.1278176307678223,3.9940171241760254,1.5597232580184937,0.8696100115776062,3.546712636947632,3.227729320526123,2.0884103775024414,7.633628845214844
quad2d,fm_ranked,9,12000,certain_success,24202,0.39042365550994873,0.1315048187971115,0.5584112405776978,0.25337085127830505,0.03820246458053589,0.12873373925685883,0.664818525314331,0.09324362874031067,1.6018187999725342
quad2d,fm_ranked,9,12000,certain_failure,411668,1.6957943439483643,1.1222116947174072,3.6873059272766113,1.513554334640503,0.8876182436943054,3.3022613525390625,3.0685927867889404,2.0603365898132324,6.784904956817627
quad3d,fm_direct,19,29000,full,990000,4.272650718688965,2.423677444458008,10.404922485351562,3.967698812484741,2.031744956970215,9.749317169189453,6.759457588195801,4.146117210388184,17.122432708740234
quad3d,fm_direct,19,29000,certain_success,138791,0.2307528555393219,0.04888428747653961,0.6069138050079346,0.11808572709560394,0.04178331047296524,0.0816912055015564,0.5960489511489868,0.07160080224275589,2.791564464569092
quad3d,fm_direct,19,29000,certain_failure,583830,4.226486682891846,2.2514185905456543,10.142823219299316,3.88004207611084,1.844346046447754,9.264254570007324,6.632320880889893,3.5644326210021973,17.149267196655273
quad3d,fm_disp_gdiv_d05,29,16500,full,990000,5.163191795349121,3.501451253890991,11.704236030578613,4.848811626434326,3.123840808868408,11.240036010742188,7.968675136566162,5.5679121017456055,18.297605514526367
quad3d,fm_disp_gdiv_d05,29,16500,certain_success,121465,0.27498552203178406,0.11979112774133682,0.37469562888145447,0.22895987331867218,0.1073179617524147,0.1802961528301239,0.41404446959495544,0.15420424938201904,0.3260508179664612
quad3d,fm_disp_gdiv_d05,29,16500,certain_failure,544666,5.524117469787598,3.5351786613464355,12.399113655090332,5.110153675079346,2.966611862182617,11.785196304321289,8.624201774597168,5.589358329772949,19.891258239746094
quad3d,fm_disp_gdiv_d10,29,16500,full,990000,5.222609519958496,3.57647967338562,11.674410820007324,4.939853668212891,3.253368377685547,11.300385475158691,7.939679145812988,5.608299255371094,17.962162017822266
quad3d,fm_disp_gdiv_d10,29,16500,certain_success,116037,0.29589807987213135,0.11628222465515137,0.36733266711235046,0.25624004006385803,0.10287202149629593,0.19158023595809937,0.420040488243103,0.15507566928863525,0.3237870931625366
quad3d,fm_disp_gdiv_d10,29,16500,certain_failure,553203,5.741676330566406,3.7403669357299805,12.694080352783203,5.370875835418701,3.2250683307647705,12.21059513092041,8.82912826538086,5.868112564086914,19.978452682495117
