level,arm,train_size,binary,mean_p_invalid_before,f1_old,f1_new,auc_old,auc_new,n_invalid_old,n_invalid_new
tau_0.30,fm,4000,True,0.70032,1.0,0.9797331361543373,0.9999440909842727,0.9999440909842727,38256,0
tau_0.30,fm,500,True,0.73132,0.9964553561434275,0.96752392131754,0.9964041509377798,0.9964041509377798,35322,0
tau_0.30,fm,6000,True,0.69994,1.0,0.9816186372205763,0.9999715770592836,0.9999715770592836,36286,0
tau_0.30,fm_outcome,1000,True,0.0,0.9893772130806082,0.9893772130806082,0.9994154258918574,0.9994154258918574,0,0
tau_0.30,fm_outcome,2000,True,0.0,0.9958433755981697,0.9958433755981697,0.9996505350489194,0.9996505350489194,0,0
tau_0.30,fm_outcome,4000,True,0.0,0.998900826153246,0.998900826153246,0.9999020844938958,0.9999020844938958,0,0
tau_0.30,fm_outcome,500,True,0.0,0.9671096229639706,0.9671096229639706,0.9924328063014366,0.9924328063014366,0,0
tau_0.30,fm_outcome,6000,True,0.0,0.9996152097107076,0.9996152097107076,0.9999670572339424,0.9999670572339424,0,0
tau_0.30,mlp,1000,True,0.0,0.9914511873350923,0.9914511873350923,0.9993996205461181,0.9993996205461181,0,0
tau_0.30,mlp,2000,True,0.0,0.9938684310804724,0.9938684310804724,0.9996219395804714,0.9996219395804714,0,0
tau_0.30,mlp,4000,True,0.0,0.9992920855160697,0.9992920855160697,0.9999021226104876,0.9999021226104876,0,0
tau_0.30,mlp,500,True,0.0,0.969029184038118,0.969029184038118,0.9924291721853222,0.9924291721853222,0,0
tau_0.30,mlp,6000,True,0.0,0.996640067198656,0.996640067198656,0.9997636149401785,0.9997636149401785,0,0
tau_0.50,fm,1000,True,0.0,0.9667359667359667,0.9667359667359667,0.9986917741421563,0.9986917741421563,0,0
tau_0.50,fm,2000,True,0.0,0.9638581776591689,0.9638581776591689,0.9999153942761718,0.9999153942761718,0,0
tau_0.50,fm,4000,True,0.74208,1.0,0.962390559573658,0.9999032124970694,0.9999032124970694,40866,0
tau_0.50,fm,500,True,0.0,0.9920497253541486,0.9920497253541486,0.9959254078277798,0.9959254078277798,0,0
tau_0.50,fm,6000,True,0.74234,1.0,0.9633440024386526,0.999937302210172,0.999937302210172,40250,0
tau_0.50,fm_outcome,1000,True,0.0,0.996775760787951,0.996775760787951,0.9996983819083062,0.9996983819083062,0,0
tau_0.50,fm_outcome,2000,True,0.0,0.9992229992229993,0.9992229992229993,0.9998905862313744,0.9998905862313744,0,0
tau_0.50,fm_outcome,4000,True,0.0,0.9999556245839805,0.9999556245839805,0.9998959507247331,0.9998959507247331,0,0
tau_0.50,fm_outcome,500,True,0.0,0.9862892525431225,0.9862892525431225,0.9984748701589523,0.9984748701589523,0,0
tau_0.50,fm_outcome,6000,True,0.0,1.0,1.0,0.9999402461127518,0.9999402461127518,0,0
tau_0.50,mlp,1000,True,0.0,0.9963947915341221,0.9963947915341221,0.9994928035748564,0.9994928035748564,0,0
tau_0.50,mlp,2000,True,0.0,0.9885471728335736,0.9885471728335736,0.9995218123463919,0.9995218123463919,0,0
tau_0.50,mlp,4000,True,0.0,0.9999570575857775,0.9999570575857775,0.9998731965145359,0.9998731965145359,0,0
tau_0.50,mlp,500,True,0.0,0.9797876593665319,0.9797876593665319,0.9986334489618127,0.9986334489618127,0,0
tau_0.50,mlp,6000,True,0.0,1.0,1.0,0.9998846590136103,0.9998846590136103,0,0
det_anchor_lqr,fm,1000,False,0.23521,0.9542216512904357,0.9542216512904357,0.9657852824318314,0.9657852824318314,11232,11232
det_anchor_lqr,fm,2000,False,0.13602,0.9944704638162865,0.9944704638162865,0.9994990833175499,0.9994990833175499,3200,3200
det_anchor_lqr,fm,4000,False,0.04445,0.9943359540113281,0.9943359540113281,0.999828923184529,0.999828923184529,1284,1284
det_anchor_lqr,fm,500,False,0.09792,0.9968980451831909,0.9968980451831909,0.9986076446599036,0.9986076446599036,3341,3341
det_anchor_lqr,fm,6000,False,0.03522,0.9976896311760614,0.9976896311760614,0.999747434388662,0.999747434388662,943,943
det_anchor_lqr,fm_outcome,1000,False,0.0,0.9876667639179906,0.9876667639179906,0.9991973672823282,0.9991973672823282,0,0
det_anchor_lqr,fm_outcome,2000,False,0.0,0.9953056652085778,0.9953056652085778,0.9998871730428325,0.9998871730428325,0,0
det_anchor_lqr,fm_outcome,4000,False,0.0,0.997473740194123,0.997473740194123,0.9999706462992559,0.9999706462992559,0,0
det_anchor_lqr,fm_outcome,500,False,0.0,0.9819752955521391,0.9819752955521391,0.9970546810214634,0.9970546810214634,0,0
det_anchor_lqr,fm_outcome,6000,False,0.0,0.9970017777070234,0.9970017777070234,0.9999592041727938,0.9999592041727938,0,0
det_anchor_lqr,mlp,1000,False,0.0,0.9906397915226294,0.9906397915226294,0.9986692321006624,0.9986692321006624,0,0
det_anchor_lqr,mlp,2000,False,0.0,0.9958902293517169,0.9958902293517169,0.9999585604201736,0.9999585604201736,0,0
det_anchor_lqr,mlp,4000,False,0.0,0.9972567715130368,0.9972567715130368,0.9999662411160365,0.9999662411160365,0,0
det_anchor_lqr,mlp,500,False,0.0,0.9829584546176238,0.9829584546176238,0.9981106117742532,0.9981106117742532,0,0
det_anchor_lqr,mlp,6000,False,0.0,0.9947944617366105,0.9947944617366105,0.9994988217376284,0.9994988217376284,0,0
