level,arm,train_size,n_eval,binary_outcomes,truth,KL,sAUROC,brier_debiased,skill_score,brier_raw,f1,accuracy,precision,recall,auc,brier,log_score,n_invalid,K,M
sigma_015.0,mlp,6000,130859,True,mc,0.08054912689282392,0.9841871416058139,0.025887861724546143,0.8524261330913634,0.02609471884053774,0.9694844144350847,0.9849562098051255,0.9861963190184049,0.9533294656094888,0.9959204366603007,0.038030544360924456,0.1538807053041367,0,1,95.0
sigma_015.0,mlp,8000,130859,True,mc,0.08953063867713675,0.9862640550337562,0.02833379039310565,0.8384831062148033,0.028540647509097256,0.991077022061936,0.9956615159173795,0.9963912436591428,0.9858191862031798,0.9981704555596097,0.04130175442211392,0.16286221708837936,0,1,95.0
sigma_020.0,fm,1000,130859,True,mc,0.39256198650330126,0.9323432714300194,0.11115366470523334,0.19822279644894802,0.11200562814866243,0.7516643044281235,0.9060822389526432,0.9985735478717335,0.6026515151515152,0.9616272093553095,0.1766838069983723,0.5262548662648454,0,100,95.0
sigma_020.0,fm,2000,130859,True,mc,0.17297892018190034,0.9566825111140291,0.05222649673620634,0.6232781472795458,0.05317802849439413,0.09367276322293623,0.8662752534461381,1.0,0.04913781926617399,0.9865464889469927,0.09543779717100084,0.3066717999434557,0,100,95.0
sigma_020.0,fm,4000,130859,True,mc,0.14399428599527983,0.959338992126124,0.04359339400889936,0.6855507226464941,0.044564742076429596,0.08783977110157368,0.9365578451955702,1.0,0.045937453239563074,0.9890198280962216,0.08324244874253967,0.27768716575683433,0,100,95.0
sigma_020.0,fm,6000,130859,True,mc,0.059214485601576716,0.9656471089086827,0.018051329832369248,0.8697915647517713,0.019040888479086377,0.20264079762867152,0.9695184135977337,1.0,0.11274362818590705,0.9956119708265818,0.04496920196547429,0.19290736536313546,0,100,95.0
sigma_020.0,fm,8000,130859,True,mc,0.0820976207010019,0.9646614750458531,0.02606624466867038,0.8119781222423333,0.027065788401501867,0.0664995381976514,0.9302027326986633,1.0,0.03439333970247031,0.994551691470607,0.058063775514102973,0.21579050046256332,0,100,95.0
sigma_020.0,fm_outcome,1000,130859,True,mc,0.09912147894774351,0.9503778304067819,0.032445642126465765,0.7659620465005583,0.03288567451541188,0.948397976391231,0.9980008362515026,0.9811584089323099,0.9177545691906005,0.9792559726061628,0.0587623007965086,0.23281435870994435,0,1,95.0
sigma_020.0,fm_outcome,2000,130859,True,mc,0.0406154913334023,0.9666614434820726,0.010922202425212779,0.9212156167740522,0.0113622348141589,0.9326480930484176,0.9972852158744003,0.9948066935949221,0.8778004073319755,0.9962724162781883,0.025094850064829085,0.17430837109520705,0,1,95.0
sigma_020.0,fm_outcome,4000,130859,True,mc,0.02983809593698526,0.9672524944674931,0.008308600001828169,0.9400681381710988,0.008748632390774292,0.8653624856156501,0.9986995954296892,0.9920844327176781,0.7673469387755102,0.9972028343521127,0.0229214669893318,0.16353097569883782,0,1,95.0
sigma_020.0,fm_outcome,6000,130859,True,mc,0.03128700714854372,0.9672602714074552,0.008302438303536502,0.9401125839321857,0.008742470692482626,0.773972602739726,0.9978294709609524,1.0,0.6312849162011173,0.997018984200523,0.023391699466290994,0.164979886910294,0,1,95.0
sigma_020.0,fm_outcome,8000,130859,True,mc,0.026958414733116182,0.96830244649512,0.0074287915686343095,0.946414400771594,0.00786882395758043,0.38164251207729466,0.9971971621266532,1.0,0.23582089552238805,0.9981612644572271,0.022062167269178524,0.16065129449480303,0,1,95.0
sigma_020.0,mlp,1000,130859,True,mc,0.1408716004653355,0.9445115907989505,0.04601350395986298,0.6680939073996431,0.046453536348809096,0.13904982618771725,0.9908803024351924,0.9090909090909091,0.07528230865746549,0.9724156841022136,0.08381370593287932,0.2745644802273783,0,1,95.0
sigma_020.0,mlp,2000,130859,True,mc,0.09318860302056146,0.9603108186452212,0.03307685757810811,0.7614089428219877,0.033516889967054236,0.9587556798322266,0.9972431516850652,0.9524305555555556,0.9651653764954258,0.9888718494509404,0.06795900745246465,0.22688148278243986,0,1,95.0
sigma_020.0,mlp,4000,130859,True,mc,0.06234092148732341,0.967531370576909,0.01994209356275594,0.8561530467564774,0.02038212595170207,0.9122077922077921,0.9981490811118656,0.9854096520763187,0.8491295938104448,0.9966355269576143,0.04824924146091102,0.19603380124892103,0,1,95.0
sigma_020.0,mlp,6000,130859,True,mc,0.05765234215135216,0.9660871706468004,0.019135369232743085,0.8619721367439247,0.019575401621689206,0.6549491211840889,0.995935668054133,1.0,0.48693259972489683,0.995113807064388,0.04797630090867058,0.1913452219129712,0,1,95.0
sigma_020.0,mlp,8000,130859,True,mc,0.047682380406056324,0.9675926120440786,0.015972729962226626,0.8847849884558309,0.016412762351172745,0.8457711442786069,0.9982951295701527,0.9976525821596244,0.7340241796200345,0.9969052713529778,0.042868765164463356,0.18137526016766936,0,1,95.0
sigma_030.0,fm,1000,130859,True,mc,0.34317629145803413,0.8678260409344456,0.06684297713725026,-0.05057958200014645,0.06777765909847056,0.0,0.7839527803085166,0.0,0.0,0.9261148255911327,0.19350523693441032,0.5410378732239197,0,100,95.0
