level,arm,train_size,n_points,K,M,KL,brier_raw,brier_debiased,brier_debiased_se,sAUROC,F1,precision,recall,skill_score,MAE
tau_0.30,fm_outcome,2000,48770,,100.0,0.012807,0.002719,0.002669,0.000129,0.999271,0.988458,0.984223,0.992729,0.986945,0.00763
tau_0.30,fm_outcome,4000,48770,,100.0,0.006677,0.001071,0.001021,7.2e-05,0.999664,0.994281,0.992886,0.995679,0.995008,0.004572
tau_0.30,fm_outcome,6000,48770,,100.0,0.003341,0.000535,0.000485,3.4e-05,0.999763,0.995615,0.994592,0.996639,0.997626,0.003224
tau_0.30,mlp,500,48770,,100.0,0.298993,0.066643,0.066593,0.000988,0.992177,0.874057,0.787609,0.981823,0.674317,0.085297
tau_0.30,mlp,1000,48770,,100.0,0.042216,0.008165,0.008115,0.000305,0.999134,0.977037,0.959526,0.995199,0.96031,0.01429
tau_0.30,mlp,2000,48770,,100.0,0.027402,0.005083,0.005033,0.0002,0.999333,0.983055,0.973436,0.992866,0.975383,0.010905
tau_0.30,mlp,4000,48770,,100.0,0.028838,0.007162,0.007112,0.000232,0.999671,0.976206,0.954394,0.99904,0.965219,0.014624
tau_0.30,mlp,6000,48770,,100.0,0.026016,0.00582,0.00577,0.000218,0.999544,0.979404,0.959892,0.999726,0.971781,0.012309
tau_0.50,fm,500,48770,100.0,100.0,0.069056,0.015823,0.015468,0.000316,0.992733,0.945097,0.985822,0.907602,0.915506,0.043873
tau_0.50,fm,1000,48770,100.0,100.0,0.026694,0.004878,0.004604,0.000117,0.996712,0.979922,0.993015,0.96717,0.974848,0.021366
tau_0.50,fm,2000,48770,100.0,100.0,0.007401,0.001075,0.000865,3e-05,0.999108,0.990645,0.992849,0.98845,0.995275,0.009074
tau_0.50,fm,4000,48770,100.0,100.0,0.006053,0.000977,0.000781,2.9e-05,0.999131,0.990591,0.990043,0.99114,0.995733,0.007564
tau_0.50,fm,6000,48770,100.0,100.0,0.004365,0.000643,0.000453,2.6e-05,0.999248,0.992641,0.992955,0.992327,0.997525,0.005843
tau_0.50,fm_outcome,500,48770,,100.0,0.037441,0.008012,0.007927,0.000248,0.997092,0.965834,0.984153,0.948184,0.956696,0.019615
tau_0.50,fm_outcome,1000,48770,,100.0,0.01133,0.001797,0.001712,7.4e-05,0.998893,0.987742,0.993913,0.981647,0.990647,0.0081
tau_0.50,fm_outcome,2000,48770,,100.0,0.005613,0.001061,0.000976,3.2e-05,0.999249,0.989925,0.988792,0.991061,0.994668,0.00758
tau_0.50,fm_outcome,4000,48770,,100.0,0.005273,0.00094,0.000855,3.5e-05,0.999263,0.991062,0.986595,0.99557,0.99533,0.006486
tau_0.50,fm_outcome,6000,48770,,100.0,0.003087,0.000498,0.000413,1.9e-05,0.999346,0.992985,0.989398,0.996598,0.997745,0.004524
tau_0.50,mlp,500,48770,,100.0,0.058681,0.011055,0.01097,0.000333,0.997792,0.962853,0.950027,0.97603,0.940074,0.02072
tau_0.50,mlp,1000,48770,,100.0,0.068962,0.01583,0.015745,0.000396,0.998632,0.950726,0.910077,0.995174,0.913993,0.02761
tau_0.50,mlp,2000,48770,,100.0,0.108366,0.024644,0.024559,0.000521,0.998885,0.92993,0.869036,1.0,0.865843,0.039592
tau_0.50,mlp,4000,48770,,100.0,0.05652,0.014827,0.014742,0.000361,0.99919,0.949808,0.904414,1.0,0.919469,0.027078
tau_0.50,mlp,6000,48770,,100.0,0.050452,0.014718,0.014633,0.000323,0.999225,0.945652,0.896906,1.0,0.920063,0.029833
