cluster,count_label_0,count_label_1,cluster_size,failure_rate,success_rate
56,10,2,12,0.16666666666666666,0.8333333333333334
57,17,3,20,0.15,0.85
58,14,7,21,0.3333333333333333,0.6666666666666666
59,14,7,21,0.3333333333333333,0.6666666666666666
60,19,18,37,0.4864864864864865,0.5135135135135135
61,31,35,66,0.5303030303030303,0.4696969696969697
62,22,17,39,0.4358974358974359,0.5641025641025641
63,13,13,26,0.5,0.5
64,27,19,46,0.41304347826086957,0.5869565217391305
65,13,6,19,0.3157894736842105,0.6842105263157895
66,17,15,32,0.46875,0.53125
67,18,12,30,0.4,0.6
68,30,12,42,0.2857142857142857,0.7142857142857143
69,19,11,30,0.36666666666666664,0.6333333333333333
70,44,16,60,0.26666666666666666,0.7333333333333333
71,8,6,14,0.42857142857142855,0.5714285714285714
72,59,20,79,0.25316455696202533,0.7468354430379747
73,28,14,42,0.3333333333333333,0.6666666666666666
74,15,17,32,0.53125,0.46875
75,16,10,26,0.38461538461538464,0.6153846153846154
76,17,2,19,0.10526315789473684,0.8947368421052632
77,27,4,31,0.12903225806451613,0.8709677419354839
78,9,5,14,0.35714285714285715,0.6428571428571429
79,35,15,50,0.3,0.7
80,19,17,36,0.4722222222222222,0.5277777777777778
81,22,10,32,0.3125,0.6875
82,5,4,9,0.4444444444444444,0.5555555555555556
83,8,13,21,0.6190476190476191,0.38095238095238093
84,12,9,21,0.42857142857142855,0.5714285714285714
85,49,43,92,0.4673913043478261,0.532608695652174
86,18,23,41,0.5609756097560976,0.43902439024390244
87,31,10,41,0.24390243902439024,0.7560975609756098
88,9,2,11,0.18181818181818182,0.8181818181818182
89,6,8,14,0.5714285714285714,0.42857142857142855
90,7,9,16,0.5625,0.4375
91,14,6,20,0.3,0.7
92,25,19,44,0.4318181818181818,0.5681818181818182
93,34,10,44,0.22727272727272727,0.7727272727272727
94,11,2,13,0.15384615384615385,0.8461538461538461
95,15,19,34,0.5588235294117647,0.4411764705882353
96,14,6,20,0.3,0.7
97,33,13,46,0.2826086956521739,0.717391304347826
98,19,6,25,0.24,0.76
99,25,20,45,0.4444444444444444,0.5555555555555556
100,16,14,30,0.4666666666666667,0.5333333333333333
101,24,11,35,0.3142857142857143,0.6857142857142857
102,13,6,19,0.3157894736842105,0.6842105263157895
103,15,6,21,0.2857142857142857,0.7142857142857143
104,66,17,83,0.20481927710843373,0.7951807228915663
105,52,23,75,0.30666666666666664,0.6933333333333334
106,16,6,22,0.2727272727272727,0.7272727272727273
107,24,25,49,0.5102040816326531,0.4897959183673469
108,15,4,19,0.21052631578947367,0.7894736842105263
109,23,11,34,0.3235294117647059,0.6764705882352942
110,21,9,30,0.3,0.7
111,43,24,67,0.3582089552238806,0.6417910447761194
112,31,12,43,0.27906976744186046,0.7209302325581395
113,15,6,21,0.2857142857142857,0.7142857142857143
114,19,15,34,0.4411764705882353,0.5588235294117647
115,11,16,27,0.5925925925925926,0.4074074074074074
116,16,2,18,0.1111111111111111,0.8888888888888888
117,11,7,18,0.3888888888888889,0.6111111111111112
118,31,16,47,0.3404255319148936,0.6595744680851063
119,14,9,23,0.391304347826087,0.6086956521739131
120,24,32,56,0.5714285714285714,0.42857142857142855
121,15,6,21,0.2857142857142857,0.7142857142857143
122,24,8,32,0.25,0.75
123,12,4,16,0.25,0.75
124,29,12,41,0.2926829268292683,0.7073170731707317
125,17,14,31,0.45161290322580644,0.5483870967741935
126,42,24,66,0.36363636363636365,0.6363636363636364
127,17,3,20,0.15,0.85
128,16,12,28,0.42857142857142855,0.5714285714285714
129,19,16,35,0.45714285714285713,0.5428571428571428
130,28,9,37,0.24324324324324326,0.7567567567567568
131,13,10,23,0.43478260869565216,0.5652173913043478
132,21,22,43,0.5116279069767442,0.4883720930232558
133,24,5,29,0.1724137931034483,0.8275862068965517
134,25,5,30,0.16666666666666666,0.8333333333333334
135,28,10,38,0.2631578947368421,0.7368421052631579
136,23,8,31,0.25806451612903225,0.7419354838709677
137,17,10,27,0.37037037037037035,0.6296296296296297
138,25,16,41,0.3902439024390244,0.6097560975609756
139,12,9,21,0.42857142857142855,0.5714285714285714
140,21,9,30,0.3,0.7
141,26,11,37,0.2972972972972973,0.7027027027027027
142,24,9,33,0.2727272727272727,0.7272727272727273
143,17,16,33,0.48484848484848486,0.5151515151515151
144,12,9,21,0.42857142857142855,0.5714285714285714
145,22,13,35,0.37142857142857144,0.6285714285714286
146,36,14,50,0.28,0.72
147,11,17,28,0.6071428571428571,0.39285714285714285
148,14,38,52,0.7307692307692307,0.2692307692307692
149,18,5,23,0.21739130434782608,0.782608695652174
150,19,5,24,0.20833333333333334,0.7916666666666666
151,10,16,26,0.6153846153846154,0.38461538461538464
152,15,8,23,0.34782608695652173,0.6521739130434783
153,21,6,27,0.2222222222222222,0.7777777777777778
154,40,45,85,0.5294117647058824,0.47058823529411764
155,22,16,38,0.42105263157894735,0.5789473684210527
156,17,14,31,0.45161290322580644,0.5483870967741935
157,15,15,30,0.5,0.5
158,27,10,37,0.2702702702702703,0.7297297297297297
159,25,28,53,0.5283018867924528,0.4716981132075472
160,18,22,40,0.55,0.45
161,9,8,17,0.47058823529411764,0.5294117647058824
162,31,20,51,0.39215686274509803,0.6078431372549019
163,13,12,25,0.48,0.52
164,13,13,26,0.5,0.5
165,36,15,51,0.29411764705882354,0.7058823529411765
166,26,18,44,0.4090909090909091,0.5909090909090909
167,14,5,19,0.2631578947368421,0.7368421052631579
168,15,3,18,0.16666666666666666,0.8333333333333334
169,18,17,35,0.4857142857142857,0.5142857142857142
170,9,6,15,0.4,0.6
171,8,8,16,0.5,0.5
172,14,0,14,0.0,1.0
173,25,13,38,0.34210526315789475,0.6578947368421053
174,16,7,23,0.30434782608695654,0.6956521739130435
175,36,20,56,0.35714285714285715,0.6428571428571429
176,19,18,37,0.4864864864864865,0.5135135135135135
177,10,5,15,0.3333333333333333,0.6666666666666666
178,8,16,24,0.6666666666666666,0.3333333333333333
179,18,4,22,0.18181818181818182,0.8181818181818182
180,13,5,18,0.2777777777777778,0.7222222222222222
181,33,24,57,0.42105263157894735,0.5789473684210527
182,9,17,26,0.6538461538461539,0.34615384615384615
183,13,8,21,0.38095238095238093,0.6190476190476191
184,17,13,30,0.43333333333333335,0.5666666666666667
185,20,10,30,0.3333333333333333,0.6666666666666666
186,28,14,42,0.3333333333333333,0.6666666666666666
187,24,6,30,0.2,0.8
188,13,14,27,0.5185185185185185,0.48148148148148145
189,20,32,52,0.6153846153846154,0.38461538461538464
190,13,17,30,0.5666666666666667,0.43333333333333335
191,24,7,31,0.22580645161290322,0.7741935483870968
192,6,4,10,0.4,0.6
193,15,10,25,0.4,0.6
194,36,22,58,0.3793103448275862,0.6206896551724138
195,25,21,46,0.45652173913043476,0.5434782608695652
196,11,10,21,0.47619047619047616,0.5238095238095238
197,22,8,30,0.26666666666666666,0.7333333333333333
198,22,14,36,0.3888888888888889,0.6111111111111112
